resume_text,category
"Worked on analytics dashboard using data visualization, Python, NumPy, model evaluation and delivered results through A/B testing, dashboard reporting, stakeholder communication. Additional keywords: NumPy model evaluation.",Data Science
"Hands-on experience with CRM, Google Analytics, content strategy, lead generation in growth strategy, including business analysis, A/B testing, performance reporting. Additional keywords: CRM content strategy.",Marketing
"Professional background includes Python, scikit-learn, NumPy, data visualization, prediction pipeline, and strong emphasis on exploratory analysis, documentation, dashboard reporting. Additional keywords: SQL model evaluation.",Data Science
"Hands-on experience with NLP, PyTorch, model tuning, deep learning in LLM assistant, including data preprocessing, training pipeline, presentation skills. Additional keywords: PyTorch computer vision.",AI/ML
"Python, model tuning, deep learning, TensorFlow focused on recommendation engine with experience in feature selection, hyperparameter optimization, data preprocessing. Additional keywords: machine learning computer vision.",AI/ML
"Python, PyTorch, deep learning, TensorFlow focused on LLM assistant with experience in business analysis, feature selection, documentation. Additional keywords: Python machine learning.",AI/ML
"Built and improved infrastructure planning by applying Revit, RCC design, structural analysis, surveying and project scheduling, quality control, documentation. Additional keywords: RCC design STAAD Pro.",Civil Engineering
"Built and improved prototype assembly by applying manufacturing, MATLAB, SolidWorks, CAD and quality inspection, tolerance stack-up, business analysis. Additional keywords: manufacturing SolidWorks.",Mechanical Engineering
"Professional background includes clinical research, MATLAB, healthcare analytics, PCR, device validation, and strong emphasis on regulatory documentation, documentation, lab protocol. Additional keywords: clinical research bioinformatics.",Biomedical
"MATLAB, clinical research, healthcare analytics, signal processing focused on device validation with experience in data interpretation, lab protocol, process improvement. Additional keywords: healthcare analytics bioinformatics.",Biomedical
"Hands-on experience with budgeting, Excel, taxation, risk analysis in portfolio model, including cash flow planning, cost optimization, compliance review. Additional keywords: forecasting accounting.",Finance
"model tuning, TensorFlow, NLP, computer vision focused on LLM assistant with experience in process improvement, feature selection, business analysis. Additional keywords: TensorFlow computer vision.",AI/ML
"Professional background includes PCR, biostatistics, clinical research, MATLAB, diagnostic system, and strong emphasis on problem solving, data interpretation, cross-functional collaboration. Additional keywords: biostatistics healthcare analytics.",Biomedical
"model evaluation, Python, Pandas, SQL focused on data cleaning workflow with experience in data wrangling, process improvement, dashboard reporting. Additional keywords: NumPy SQL.",Data Science
"Built and improved building project by applying RCC design, site execution, AutoCAD, Revit and safety compliance, stakeholder communication, BOQ preparation. Additional keywords: site execution STAAD Pro.",Civil Engineering
"Built and improved web application by applying Django, Git, Java, Flask and business analysis, CI/CD, agile delivery. Additional keywords: SQL Python.",Software Engineering
"Worked on prediction pipeline using SQL, Pandas, Python, data visualization and delivered results through A/B testing, data wrangling, feature engineering. Additional keywords: Python data visualization.",Data Science
"Professional background includes Java, Docker, React, Python, full-stack portal, and strong emphasis on cloud deployment, cross-functional collaboration, unit testing. Additional keywords: Flask REST APIs.",Software Engineering
"Hands-on experience with Java, React, Docker, Python in API layer, including code review, agile delivery, problem solving. Additional keywords: Django Git.",Software Engineering
"Professional background includes MATLAB, bioinformatics, healthcare analytics, signal processing, diagnostic system, and strong emphasis on data interpretation, research methodology, equipment testing. Additional keywords: biostatistics MATLAB.",Biomedical
"CAD, manufacturing, SolidWorks, FMEA focused on prototype assembly with experience in technical drawing, business analysis, tolerance stack-up. Additional keywords: FMEA manufacturing.",Mechanical Engineering
"Built and improved API layer by applying SQL, Django, REST APIs, Java and code review, technical writing, agile delivery. Additional keywords: Django Docker.",Software Engineering
"Hands-on experience with PyTorch, TensorFlow, Python, machine learning in LLM assistant, including training pipeline, presentation skills, cross-functional collaboration. Additional keywords: PyTorch Python.",AI/ML
"Built and improved financial report by applying valuation, financial modeling, taxation, risk analysis and cost optimization, technical writing, cash flow planning. Additional keywords: forecasting Excel.",Finance
"Worked on structural estimation using surveying, RCC design, STAAD Pro, AutoCAD and delivered results through project scheduling, quality control, process improvement. Additional keywords: surveying Revit.",Civil Engineering
"NumPy, SQL, statistics, data visualization focused on data cleaning workflow with experience in feature engineering, dashboard reporting, data wrangling. Additional keywords: NumPy statistics.",Data Science
"Built and improved web application by applying JavaScript, React, Flask, Java and unit testing, agile delivery, cross-functional collaboration. Additional keywords: Git Docker.",Software Engineering
"campaign planning, social media, brand management, content strategy focused on brand launch with experience in cross-functional collaboration, performance reporting, business analysis. Additional keywords: social media Google Analytics.",Marketing
"MATLAB, SolidWorks, CAD, FMEA focused on thermal system with experience in finite element analysis, technical drawing, stakeholder communication. Additional keywords: GD&T AutoCAD.",Mechanical Engineering
"Professional background includes STAAD Pro, structural analysis, site execution, Revit, infrastructure planning, and strong emphasis on presentation skills, vendor coordination, project scheduling. Additional keywords: surveying STAAD Pro.",Civil Engineering
"Built and improved budget dashboard by applying forecasting, valuation, financial modeling, taxation and compliance review, cash flow planning, presentation skills. Additional keywords: accounting risk analysis.",Finance
"Worked on forecasting system using statistics, Pandas, NumPy, SQL and delivered results through A/B testing, problem solving, feature engineering. Additional keywords: model evaluation data visualization.",Data Science
"STAAD Pro, structural analysis, construction management, RCC design focused on building project with experience in cross-functional collaboration, project scheduling, quality control. Additional keywords: site execution AutoCAD.",Civil Engineering
"Hands-on experience with clinical research, PCR, biostatistics, bioinformatics in imaging workflow, including equipment testing, data interpretation, business analysis. Additional keywords: clinical research bioinformatics.",Biomedical
"Built and improved web application by applying Docker, Flask, JavaScript, Git and unit testing, code review, CI/CD. Additional keywords: Flask Docker.",Software Engineering
"Built and improved digital campaign by applying lead generation, CRM, brand management, social media and market research, stakeholder communication, conversion optimization. Additional keywords: content strategy lead generation.",Marketing
"Worked on financial report using forecasting, budgeting, risk analysis, accounting and delivered results through stakeholder communication, variance analysis, compliance review. Additional keywords: Excel valuation.",Finance
"Hands-on experience with signal processing, healthcare analytics, biostatistics, PCR in device validation, including regulatory documentation, data interpretation, research methodology. Additional keywords: MATLAB medical imaging.",Biomedical
"TensorFlow, NLP, machine learning, computer vision focused on LLM assistant with experience in feature selection, cross-functional collaboration, stakeholder communication. Additional keywords: deep learning Python.",AI/ML
"Built and improved building project by applying Revit, AutoCAD, construction management, surveying and BOQ preparation, quality control, project scheduling. Additional keywords: STAAD Pro site execution.",Civil Engineering
"Hands-on experience with Python, scikit-learn, data visualization, SQL in forecasting system, including exploratory analysis, data wrangling, feature engineering. Additional keywords: scikit-learn model evaluation.",Data Science
"PCR, clinical research, MATLAB, healthcare analytics focused on clinical study with experience in lab protocol, regulatory documentation, stakeholder communication. Additional keywords: biostatistics medical imaging.",Biomedical
"Professional background includes Google Analytics, lead generation, SEO, social media, growth strategy, and strong emphasis on market research, problem solving, performance reporting. Additional keywords: campaign planning social media.",Marketing
"Hands-on experience with mechanical design, AutoCAD, GD&T, SolidWorks in product design, including quality inspection, process optimization, documentation. Additional keywords: CAD manufacturing.",Mechanical Engineering
"Worked on neural network using TensorFlow, machine learning, PyTorch, model tuning and delivered results through stakeholder communication, MLOps, hyperparameter optimization. Additional keywords: machine learning deep learning.",AI/ML
"Professional background includes surveying, AutoCAD, Revit, site execution, bridge design, and strong emphasis on safety compliance, business analysis, vendor coordination. Additional keywords: surveying RCC design.",Civil Engineering
"Hands-on experience with forecasting, valuation, financial modeling, budgeting in financial report, including cash flow planning, variance analysis, technical writing. Additional keywords: Excel forecasting.",Finance
"Built and improved portfolio model by applying budgeting, valuation, Excel, accounting and KPI tracking, problem solving, cash flow planning. Additional keywords: forecasting budgeting.",Finance
"Professional background includes RCC design, site execution, STAAD Pro, structural analysis, bridge design, and strong emphasis on safety compliance, stakeholder communication, business analysis. Additional keywords: STAAD Pro surveying.",Civil Engineering
"Hands-on experience with financial modeling, Excel, accounting, valuation in investment analysis, including KPI tracking, cash flow planning, problem solving. Additional keywords: Excel taxation.",Finance
"Professional background includes brand management, campaign planning, content strategy, CRM, brand launch, and strong emphasis on A/B testing, market research, audience segmentation. Additional keywords: campaign planning SEO.",Marketing
"Professional background includes Java, Git, Docker, Python, web application, and strong emphasis on code review, agile delivery, process improvement. Additional keywords: SQL Docker.",Software Engineering
"Worked on diagnostic system using clinical research, MATLAB, bioinformatics, healthcare analytics and delivered results through data interpretation, lab protocol, regulatory documentation. Additional keywords: bioinformatics biostatistics.",Biomedical
"Python, NLP, TensorFlow, deep learning focused on vision system with experience in stakeholder communication, training pipeline, process improvement. Additional keywords: deep learning PyTorch.",AI/ML
"Hands-on experience with surveying, AutoCAD, construction management, STAAD Pro in infrastructure planning, including BOQ preparation, presentation skills, safety compliance. Additional keywords: AutoCAD RCC design.",Civil Engineering
"Hands-on experience with MATLAB, CAD, AutoCAD, mechanical design in thermal system, including technical writing, quality inspection, finite element analysis. Additional keywords: mechanical design GD&T.",Mechanical Engineering
"Hands-on experience with Excel, financial modeling, accounting, taxation in budget dashboard, including KPI tracking, variance analysis, cross-functional collaboration. Additional keywords: accounting risk analysis.",Finance
"deep learning, PyTorch, TensorFlow, computer vision focused on recommendation engine with experience in technical writing, MLOps, training pipeline. Additional keywords: model tuning deep learning.",AI/ML
"JavaScript, Git, Docker, React focused on microservices platform with experience in unit testing, code review, agile delivery. Additional keywords: Python Git.",Software Engineering
"Java, Flask, SQL, REST APIs focused on API layer with experience in cloud deployment, CI/CD, unit testing. Additional keywords: Docker Django.",Software Engineering
"Built and improved clinical study by applying signal processing, MATLAB, healthcare analytics, PCR and data interpretation, regulatory documentation, process improvement. Additional keywords: MATLAB bioinformatics.",Biomedical
"Professional background includes lead generation, social media, SEO, Google Analytics, digital campaign, and strong emphasis on performance reporting, conversion optimization, documentation. Additional keywords: CRM social media.",Marketing
"Professional background includes CRM, brand management, content strategy, lead generation, customer funnel, and strong emphasis on presentation skills, audience segmentation, market research. Additional keywords: brand management campaign planning.",Marketing
"Django, REST APIs, SQL, Python focused on web application with experience in cross-functional collaboration, code review, stakeholder communication. Additional keywords: React Java.",Software Engineering
"Built and improved digital campaign by applying content strategy, social media, Google Analytics, campaign planning and conversion optimization, market research, presentation skills. Additional keywords: social media Google Analytics.",Marketing
"Worked on content calendar using lead generation, Google Analytics, SEO, CRM and delivered results through performance reporting, A/B testing, audience segmentation. Additional keywords: brand management campaign planning.",Marketing
"Worked on data cleaning workflow using scikit-learn, NumPy, Python, Pandas and delivered results through A/B testing, feature engineering, exploratory analysis. Additional keywords: model evaluation data visualization.",Data Science
"Professional background includes MATLAB, SolidWorks, FMEA, mechanical design, product design, and strong emphasis on quality inspection, stakeholder communication, tolerance stack-up. Additional keywords: FMEA CAD.",Mechanical Engineering
"Built and improved bridge design by applying STAAD Pro, AutoCAD, surveying, structural analysis and quality control, vendor coordination, documentation. Additional keywords: AutoCAD structural analysis.",Civil Engineering
"Built and improved clinical study by applying medical imaging, bioinformatics, healthcare analytics, MATLAB and lab protocol, data interpretation, presentation skills. Additional keywords: biostatistics signal processing.",Biomedical
"Professional background includes Docker, JavaScript, Python, Git, backend service, and strong emphasis on CI/CD, technical writing, cloud deployment. Additional keywords: Docker Git.",Software Engineering
"Built and improved backend service by applying REST APIs, Java, Python, Git and problem solving, cloud deployment, process improvement. Additional keywords: SQL React.",Software Engineering
"Hands-on experience with FMEA, CAD, manufacturing, MATLAB in thermal system, including quality inspection, technical writing, business analysis. Additional keywords: MATLAB AutoCAD.",Mechanical Engineering
"Professional background includes PyTorch, TensorFlow, NLP, computer vision, recommendation engine, and strong emphasis on hyperparameter optimization, training pipeline, cross-functional collaboration. Additional keywords: model tuning NLP.",AI/ML
"JavaScript, Git, Python, SQL focused on full-stack portal with experience in code review, unit testing, cloud deployment. Additional keywords: JavaScript Java.",Software Engineering
"Worked on customer funnel using CRM, brand management, content strategy, lead generation and delivered results through conversion optimization, audience segmentation, market research. Additional keywords: content strategy social media.",Marketing
"Worked on web application using Flask, Java, Python, Git and delivered results through CI/CD, agile delivery, technical writing. Additional keywords: Python SQL.",Software Engineering
"Hands-on experience with SQL, Python, model evaluation, statistics in forecasting system, including exploratory analysis, presentation skills, business analysis. Additional keywords: Pandas NumPy.",Data Science
"Built and improved diagnostic system by applying clinical research, PCR, bioinformatics, healthcare analytics and lab protocol, data interpretation, equipment testing. Additional keywords: biostatistics MATLAB.",Biomedical
"Worked on manufacturing line using SolidWorks, CAD, mechanical design, GD&T and delivered results through technical writing, quality inspection, process improvement. Additional keywords: manufacturing GD&T.",Mechanical Engineering
"Built and improved manufacturing line by applying MATLAB, mechanical design, AutoCAD, CAD and quality inspection, technical drawing, process optimization. Additional keywords: FMEA SolidWorks.",Mechanical Engineering
"Built and improved bridge design by applying site execution, construction management, RCC design, AutoCAD and safety compliance, project scheduling, BOQ preparation. Additional keywords: Revit AutoCAD.",Civil Engineering
"bioinformatics, biostatistics, PCR, MATLAB focused on diagnostic system with experience in research methodology, equipment testing, data interpretation. Additional keywords: MATLAB clinical research.",Biomedical
"Worked on budget dashboard using forecasting, accounting, Excel, risk analysis and delivered results through cost optimization, variance analysis, KPI tracking. Additional keywords: accounting risk analysis.",Finance
"Hands-on experience with budgeting, taxation, Excel, forecasting in portfolio model, including documentation, cash flow planning, compliance review. Additional keywords: forecasting budgeting.",Finance
"Hands-on experience with NumPy, scikit-learn, data visualization, Python in analytics dashboard, including data wrangling, A/B testing, cross-functional collaboration. Additional keywords: NumPy statistics.",Data Science
"Worked on LLM assistant using Python, NLP, PyTorch, deep learning and delivered results through MLOps, stakeholder communication, hyperparameter optimization. Additional keywords: PyTorch machine learning.",AI/ML
"Hands-on experience with construction management, RCC design, AutoCAD, site execution in site supervision, including project scheduling, vendor coordination, process improvement. Additional keywords: STAAD Pro surveying.",Civil Engineering
"Hands-on experience with machine learning, model tuning, PyTorch, computer vision in LLM assistant, including training pipeline, MLOps, data preprocessing. Additional keywords: PyTorch machine learning.",AI/ML
"Worked on thermal system using manufacturing, AutoCAD, SolidWorks, GD&T and delivered results through technical drawing, problem solving, tolerance stack-up. Additional keywords: AutoCAD mechanical design.",Mechanical Engineering
"Professional background includes SEO, lead generation, campaign planning, content strategy, customer funnel, and strong emphasis on performance reporting, conversion optimization, audience segmentation. Additional keywords: CRM brand management.",Marketing
"Hands-on experience with manufacturing, AutoCAD, MATLAB, FMEA in prototype assembly, including finite element analysis, process optimization, quality inspection. Additional keywords: MATLAB CAD.",Mechanical Engineering
"Hands-on experience with content strategy, SEO, lead generation, CRM in content calendar, including market research, conversion optimization, presentation skills. Additional keywords: lead generation social media.",Marketing
"Worked on backend service using SQL, React, Java, Django and delivered results through CI/CD, process improvement, code review. Additional keywords: JavaScript Git.",Software Engineering
"Professional background includes signal processing, medical imaging, healthcare analytics, biostatistics, diagnostic system, and strong emphasis on regulatory documentation, research methodology, lab protocol. Additional keywords: bioinformatics healthcare analytics.",Biomedical
"manufacturing, CAD, FMEA, AutoCAD focused on machine component with experience in presentation skills, process optimization, documentation. Additional keywords: GD&T CAD.",Mechanical Engineering
"Professional background includes machine learning, computer vision, TensorFlow, NLP, neural network, and strong emphasis on feature selection, presentation skills, hyperparameter optimization. Additional keywords: TensorFlow PyTorch.",AI/ML
"Built and improved digital campaign by applying lead generation, content strategy, campaign planning, brand management and market research, conversion optimization, problem solving. Additional keywords: campaign planning SEO.",Marketing
"Hands-on experience with data visualization, SQL, model evaluation, scikit-learn in prediction pipeline, including data wrangling, cross-functional collaboration, dashboard reporting. Additional keywords: scikit-learn statistics.",Data Science
"Worked on brand launch using campaign planning, lead generation, content strategy, Google Analytics and delivered results through audience segmentation, performance reporting, conversion optimization. Additional keywords: SEO social media.",Marketing
"mechanical design, GD&T, MATLAB, FMEA focused on product design with experience in finite element analysis, quality inspection, tolerance stack-up. Additional keywords: FMEA mechanical design.",Mechanical Engineering
"Worked on audit process using budgeting, Excel, forecasting, risk analysis and delivered results through cash flow planning, KPI tracking, cross-functional collaboration. Additional keywords: financial modeling budgeting.",Finance
"Worked on thermal system using MATLAB, manufacturing, mechanical design, FMEA and delivered results through finite element analysis, cross-functional collaboration, process optimization. Additional keywords: SolidWorks CAD.",Mechanical Engineering
"Hands-on experience with campaign planning, content strategy, SEO, Google Analytics in customer funnel, including business analysis, performance reporting, audience segmentation. Additional keywords: SEO CRM.",Marketing
"Professional background includes Python, Java, SQL, Docker, API layer, and strong emphasis on cloud deployment, CI/CD, agile delivery. Additional keywords: SQL React.",Software Engineering
"Worked on data cleaning workflow using SQL, Pandas, Python, NumPy and delivered results through A/B testing, data wrangling, feature engineering. Additional keywords: model evaluation Python.",Data Science
"Worked on building project using structural analysis, RCC design, AutoCAD, construction management and delivered results through vendor coordination, safety compliance, project scheduling. Additional keywords: STAAD Pro site execution.",Civil Engineering
"Built and improved diagnostic system by applying biostatistics, healthcare analytics, PCR, signal processing and stakeholder communication, business analysis, equipment testing. Additional keywords: clinical research biostatistics.",Biomedical
"Docker, React, JavaScript, Flask focused on web application with experience in cloud deployment, problem solving, CI/CD. Additional keywords: Django React.",Software Engineering
"Professional background includes CRM, social media, lead generation, SEO, growth strategy, and strong emphasis on A/B testing, performance reporting, conversion optimization. Additional keywords: CRM social media.",Marketing
"Built and improved audit process by applying budgeting, valuation, taxation, financial modeling and stakeholder communication, variance analysis, cost optimization. Additional keywords: financial modeling risk analysis.",Finance
"Professional background includes PCR, signal processing, clinical research, healthcare analytics, patient data analysis, and strong emphasis on data interpretation, regulatory documentation, equipment testing. Additional keywords: bioinformatics MATLAB.",Biomedical
"Worked on full-stack portal using Java, REST APIs, Django, JavaScript and delivered results through business analysis, code review, cross-functional collaboration. Additional keywords: Flask Java.",Software Engineering
"Python, NumPy, model evaluation, scikit-learn focused on data cleaning workflow with experience in A/B testing, technical writing, dashboard reporting. Additional keywords: NumPy data visualization.",Data Science
"Built and improved device validation by applying biostatistics, healthcare analytics, PCR, MATLAB and regulatory documentation, technical writing, problem solving. Additional keywords: MATLAB PCR.",Biomedical
"Worked on classification model using data visualization, Pandas, NumPy, scikit-learn and delivered results through feature engineering, data wrangling, cross-functional collaboration. Additional keywords: SQL scikit-learn.",Data Science
"Pandas, Python, SQL, data visualization focused on data cleaning workflow with experience in business analysis, feature engineering, exploratory analysis. Additional keywords: model evaluation Python.",Data Science
"AutoCAD, SolidWorks, FMEA, CAD focused on product design with experience in tolerance stack-up, process optimization, technical writing. Additional keywords: mechanical design MATLAB.",Mechanical Engineering
"Worked on vision system using TensorFlow, computer vision, Python, deep learning and delivered results through feature selection, MLOps, data preprocessing. Additional keywords: computer vision deep learning.",AI/ML
"manufacturing, GD&T, SolidWorks, mechanical design focused on prototype assembly with experience in process optimization, quality inspection, finite element analysis. Additional keywords: MATLAB AutoCAD.",Mechanical Engineering
"Worked on brand launch using social media, brand management, CRM, lead generation and delivered results through process improvement, market research, audience segmentation. Additional keywords: lead generation social media.",Marketing
"Built and improved forecasting system by applying NumPy, Pandas, Python, SQL and exploratory analysis, feature engineering, A/B testing. Additional keywords: statistics scikit-learn.",Data Science
"Professional background includes React, Django, Docker, JavaScript, API layer, and strong emphasis on agile delivery, documentation, unit testing. Additional keywords: Git SQL.",Software Engineering
"Worked on brand launch using CRM, content strategy, SEO, social media and delivered results through conversion optimization, documentation, audience segmentation. Additional keywords: campaign planning lead generation.",Marketing
"statistics, model evaluation, Python, scikit-learn focused on prediction pipeline with experience in problem solving, dashboard reporting, cross-functional collaboration. Additional keywords: data visualization NumPy.",Data Science
"AutoCAD, site execution, STAAD Pro, structural analysis focused on bridge design with experience in project scheduling, cross-functional collaboration, documentation. Additional keywords: surveying STAAD Pro.",Civil Engineering
"manufacturing, MATLAB, AutoCAD, FMEA focused on machine component with experience in quality inspection, finite element analysis, tolerance stack-up. Additional keywords: GD&T CAD.",Mechanical Engineering
"Built and improved thermal system by applying CAD, GD&T, MATLAB, SolidWorks and finite element analysis, process improvement, tolerance stack-up. Additional keywords: CAD FMEA.",Mechanical Engineering
"Worked on LLM assistant using deep learning, NLP, model tuning, machine learning and delivered results through data preprocessing, presentation skills, hyperparameter optimization. Additional keywords: model tuning deep learning.",AI/ML
"Excel, taxation, risk analysis, accounting focused on investment analysis with experience in KPI tracking, business analysis, problem solving. Additional keywords: risk analysis financial modeling.",Finance
"Built and improved vision system by applying NLP, deep learning, Python, computer vision and hyperparameter optimization, presentation skills, MLOps. Additional keywords: TensorFlow machine learning.",AI/ML
"structural analysis, surveying, construction management, RCC design focused on bridge design with experience in safety compliance, documentation, quality control. Additional keywords: site execution AutoCAD.",Civil Engineering
"Worked on recommendation engine using computer vision, TensorFlow, Python, NLP and delivered results through documentation, data preprocessing, MLOps. Additional keywords: machine learning deep learning.",AI/ML
"Built and improved building project by applying RCC design, AutoCAD, Revit, structural analysis and safety compliance, vendor coordination, BOQ preparation. Additional keywords: site execution construction management.",Civil Engineering
"accounting, budgeting, risk analysis, financial modeling focused on portfolio model with experience in cost optimization, variance analysis, cash flow planning. Additional keywords: financial modeling forecasting.",Finance
"Professional background includes mechanical design, GD&T, CAD, manufacturing, prototype assembly, and strong emphasis on quality inspection, tolerance stack-up, stakeholder communication. Additional keywords: manufacturing mechanical design.",Mechanical Engineering
"Professional background includes AutoCAD, SolidWorks, CAD, manufacturing, prototype assembly, and strong emphasis on technical drawing, cross-functional collaboration, tolerance stack-up. Additional keywords: MATLAB CAD.",Mechanical Engineering
"Professional background includes risk analysis, budgeting, forecasting, financial modeling, budget dashboard, and strong emphasis on cost optimization, compliance review, variance analysis. Additional keywords: valuation taxation.",Finance
"Worked on microservices platform using Java, Docker, React, Django and delivered results through code review, agile delivery, process improvement. Additional keywords: Flask SQL.",Software Engineering
"Hands-on experience with data visualization, SQL, NumPy, Pandas in analytics dashboard, including feature engineering, dashboard reporting, exploratory analysis. Additional keywords: Pandas SQL.",Data Science
"Professional background includes Django, React, SQL, Flask, backend service, and strong emphasis on code review, stakeholder communication, cloud deployment. Additional keywords: JavaScript Flask.",Software Engineering
"Built and improved budget dashboard by applying taxation, financial modeling, valuation, Excel and cost optimization, compliance review, variance analysis. Additional keywords: valuation forecasting.",Finance
"Professional background includes deep learning, machine learning, PyTorch, NLP, vision system, and strong emphasis on data preprocessing, cross-functional collaboration, hyperparameter optimization. Additional keywords: machine learning deep learning.",AI/ML
"Professional background includes financial modeling, forecasting, accounting, taxation, portfolio model, and strong emphasis on presentation skills, compliance review, cost optimization. Additional keywords: risk analysis taxation.",Finance
"Built and improved recommendation engine by applying computer vision, NLP, machine learning, model tuning and cross-functional collaboration, data preprocessing, training pipeline. Additional keywords: deep learning NLP.",AI/ML
"Worked on full-stack portal using SQL, JavaScript, Git, REST APIs and delivered results through technical writing, CI/CD, code review. Additional keywords: SQL Django.",Software Engineering
"Worked on neural network using computer vision, PyTorch, Python, TensorFlow and delivered results through data preprocessing, MLOps, cross-functional collaboration. Additional keywords: machine learning Python.",AI/ML
"Worked on prediction pipeline using scikit-learn, model evaluation, NumPy, statistics and delivered results through A/B testing, presentation skills, feature engineering. Additional keywords: Python statistics.",Data Science
"Hands-on experience with CRM, content strategy, brand management, social media in brand launch, including audience segmentation, cross-functional collaboration, problem solving. Additional keywords: campaign planning SEO.",Marketing
"Professional background includes AutoCAD, CAD, MATLAB, SolidWorks, thermal system, and strong emphasis on problem solving, tolerance stack-up, finite element analysis. Additional keywords: CAD manufacturing.",Mechanical Engineering
"Worked on portfolio model using taxation, accounting, financial modeling, Excel and delivered results through compliance review, variance analysis, cash flow planning. Additional keywords: forecasting accounting.",Finance
"Hands-on experience with Django, JavaScript, Java, Python in web application, including unit testing, agile delivery, cloud deployment. Additional keywords: Docker JavaScript.",Software Engineering
"Worked on digital campaign using lead generation, CRM, SEO, campaign planning and delivered results through performance reporting, cross-functional collaboration, documentation. Additional keywords: content strategy CRM.",Marketing
"Hands-on experience with manufacturing, GD&T, MATLAB, mechanical design in prototype assembly, including technical drawing, finite element analysis, process optimization. Additional keywords: AutoCAD FMEA.",Mechanical Engineering
"Professional background includes valuation, Excel, forecasting, financial modeling, audit process, and strong emphasis on variance analysis, KPI tracking, compliance review. Additional keywords: financial modeling taxation.",Finance
"Professional background includes financial modeling, forecasting, accounting, Excel, investment analysis, and strong emphasis on compliance review, cross-functional collaboration, cost optimization. Additional keywords: forecasting Excel.",Finance
"Built and improved forecasting system by applying scikit-learn, SQL, NumPy, data visualization and documentation, dashboard reporting, A/B testing. Additional keywords: statistics model evaluation.",Data Science
"Hands-on experience with financial modeling, forecasting, valuation, accounting in financial report, including business analysis, cash flow planning, stakeholder communication. Additional keywords: budgeting accounting.",Finance
"Worked on data cleaning workflow using Pandas, statistics, Python, SQL and delivered results through exploratory analysis, business analysis, data wrangling. Additional keywords: NumPy Python.",Data Science
"NumPy, data visualization, Python, Pandas focused on forecasting system with experience in problem solving, A/B testing, exploratory analysis. Additional keywords: statistics data visualization.",Data Science
"Built and improved patient data analysis by applying healthcare analytics, MATLAB, biostatistics, PCR and equipment testing, stakeholder communication, data interpretation. Additional keywords: PCR biostatistics.",Biomedical
"Worked on microservices platform using React, Git, Java, Flask and delivered results through presentation skills, unit testing, problem solving. Additional keywords: Python Docker.",Software Engineering
"Worked on infrastructure planning using structural analysis, STAAD Pro, site execution, Revit and delivered results through BOQ preparation, safety compliance, process improvement. Additional keywords: Revit RCC design.",Civil Engineering
"Worked on imaging workflow using bioinformatics, PCR, biostatistics, clinical research and delivered results through research methodology, data interpretation, regulatory documentation. Additional keywords: healthcare analytics bioinformatics.",Biomedical
"Built and improved brand launch by applying SEO, social media, campaign planning, Google Analytics and business analysis, A/B testing, performance reporting. Additional keywords: campaign planning content strategy.",Marketing
"Built and improved imaging workflow by applying bioinformatics, healthcare analytics, biostatistics, MATLAB and equipment testing, technical writing, presentation skills. Additional keywords: signal processing PCR.",Biomedical
"Worked on data cleaning workflow using Python, Pandas, model evaluation, SQL and delivered results through dashboard reporting, feature engineering, A/B testing. Additional keywords: data visualization SQL.",Data Science
"NLP, model tuning, deep learning, PyTorch focused on recommendation engine with experience in documentation, feature selection, cross-functional collaboration. Additional keywords: model tuning deep learning.",AI/ML
"Professional background includes taxation, budgeting, risk analysis, forecasting, financial report, and strong emphasis on cross-functional collaboration, compliance review, variance analysis. Additional keywords: risk analysis financial modeling.",Finance
"mechanical design, FMEA, SolidWorks, MATLAB focused on manufacturing line with experience in finite element analysis, process optimization, technical drawing. Additional keywords: CAD GD&T.",Mechanical Engineering
"Hands-on experience with model evaluation, statistics, data visualization, SQL in prediction pipeline, including data wrangling, exploratory analysis, feature engineering. Additional keywords: data visualization Pandas.",Data Science
"Built and improved infrastructure planning by applying site execution, AutoCAD, surveying, structural analysis and vendor coordination, cross-functional collaboration, documentation. Additional keywords: AutoCAD RCC design.",Civil Engineering
"Worked on prototype assembly using CAD, mechanical design, SolidWorks, GD&T and delivered results through process optimization, technical drawing, quality inspection. Additional keywords: MATLAB CAD.",Mechanical Engineering
"Professional background includes Revit, surveying, RCC design, construction management, bridge design, and strong emphasis on vendor coordination, BOQ preparation, documentation. Additional keywords: AutoCAD RCC design.",Civil Engineering
"Professional background includes SQL, Python, Pandas, NumPy, prediction pipeline, and strong emphasis on cross-functional collaboration, exploratory analysis, data wrangling. Additional keywords: statistics model evaluation.",Data Science
"data visualization, model evaluation, Pandas, statistics focused on forecasting system with experience in dashboard reporting, business analysis, feature engineering. Additional keywords: scikit-learn SQL.",Data Science
"SQL, Python, React, Django focused on microservices platform with experience in cross-functional collaboration, agile delivery, unit testing. Additional keywords: Git JavaScript.",Software Engineering
"Hands-on experience with campaign planning, social media, CRM, content strategy in content calendar, including problem solving, process improvement, A/B testing. Additional keywords: brand management SEO.",Marketing
"PyTorch, TensorFlow, computer vision, deep learning focused on vision system with experience in hyperparameter optimization, training pipeline, MLOps. Additional keywords: machine learning Python.",AI/ML
"Professional background includes SQL, JavaScript, Django, REST APIs, web application, and strong emphasis on CI/CD, agile delivery, cloud deployment. Additional keywords: Python SQL.",Software Engineering
